f#m,6,6,6,1
gm,7,7,7,2
g#m,8,8,8,3
am,9,9,9,4
a#m,10,10,10,5
bm,11,11,11,6
C,0,0,4,0
C#,1,1,5,1
D,2,2,6,2
D#,3,3,7,3
E,4,4,8,4
F,5,5,9,5
F#,6,6,10,6
G,7,7,11,7
G#,8,8,0,8
A,9,9,1,9
A#,10,10,2,10
B,11,11,3,11
cm,0,0,3,0
c#m,1,1,4,1
dm,2,2,5,2
d#m,3,3,6,3
em,4,4,7,4
fm,5,5,8,5
f#m,6,6,9,6
gm,7,7,10,7
g#m,8,8,11,8
am,9,9,0,9
a#m,10,10,1,10
bm,11,11,2,11
C,0,0,4,4
C#,1,1,5,5
D,2,2,6,6
D#,3,3,7,7
E,4,4,8,8
F,5,5,9,9
F#,6,6,10,10
G,7,7,11,11
G#,8,8,0,0
A,9,9,1,1
A#,10,10,2,2
B,11,11,3,3
cm,0,0,3,3
c#m,1,1,4,4
dm,2,2,5,5
d#m,3,3,6,6
em,4,4,7,7
fm,5,5,8,8
f#m,6,6,9,9
gm,7,7,10,10
g#m,8,8,11,11
am,9,9,0,0
a#m,10,10,1,1
bm,11,11,2,2
